Gene	DMSO	osi	EntrezID	Symbol	HumanGene	Control	Treatment	Diff
A1BG	-0.245652892561983	-0.451434653831914	1	A1BG	A1BG	-0.245652892561983	-0.451434653831914	-0.205781761269931
A2M	-0.126093663911846	-0.196334690855239	2	A2M	A2M	-0.126093663911846	-0.196334690855239	-0.0702410269433931
NAT1	0.143988980716253	0.493798593113662	9	NAT1	NAT1	0.143988980716253	0.493798593113662	0.349809612397408
NAT2	-0.16704132231405	-0.254618659755646	10	NAT2	NAT2	-0.16704132231405	-0.254618659755646	-0.0875773374415965
SERPINA3	-0.0890457300275482	-0.277702702702703	12	SERPINA3	SERPINA3	-0.0890457300275482	-0.277702702702703	-0.188656972675154
AADAC	-0.258732782369146	-0.306543872639763	13	AADAC	AADAC	-0.258732782369146	-0.306543872639763	-0.047811090270617
AAMP	-0.40499173553719	-0.400962606442058	14	AAMP	AAMP	-0.40499173553719	-0.400962606442058	0.0040291290951317
AANAT	-0.137818181818182	-0.0336236579044798	15	AANAT	AANAT	-0.137818181818182	-0.0336236579044798	0.104194523913702
AARS	-0.939625344352617	-1.01860422065902	16	AARS	AARS	-0.939625344352617	-1.01860422065902	-0.0789788763063981
ABAT	-0.0469796143250689	-0.0188800444279896	18	ABAT	ABAT	-0.0469796143250689	-0.0188800444279896	0.0280995698970792
ABCA1	-0.311735537190083	-0.15040725657164	19	ABCA1	ABCA1	-0.311735537190083	-0.15040725657164	0.161328280618442
ABCA2	-0.0399735537190083	-0.403174750092558	20	ABCA2	ABCA2	-0.0399735537190083	-0.403174750092558	-0.36320119637355
ABCA3	-0.166523415977961	-0.13166419844502	21	ABCA3	ABCA3	-0.166523415977961	-0.13166419844502	0.0348592175329411
ABCB7	-0.997807162534435	-1.20686782673084	22	ABCB7	ABCB7	-0.997807162534435	-1.20686782673084	-0.209060664196405
ABCF1	-0.937829201101928	-0.552221399481673	23	ABCF1	ABCF1	-0.937829201101928	-0.552221399481673	0.385607801620255
ABCA4	-0.815515151515152	-0.488893002591633	24	ABCA4	ABCA4	-0.815515151515152	-0.488893002591633	0.326622148923519
ABL1	-0.150115702479339	0.00888596815994076	25	ABL1	ABL1	-0.150115702479339	0.00888596815994076	0.15900167063928
AOC1	-0.296121212121212	-1.05081451314328	26	AOC1	AOC1	-0.296121212121212	-1.05081451314328	-0.754693301022068
ABL2	0.0246435261707989	-0.251342095520178	27	ABL2	ABL2	0.0246435261707989	-0.251342095520178	-0.275985621690977
ABO	0.123504132231405	-0.44687152906331	28	ABO	ABO	0.123504132231405	-0.44687152906331	-0.570375661294715
ABR	-0.505774104683196	0.358830062939652	29	ABR	ABR	-0.505774104683196	0.358830062939652	0.864604167622848
ACAA1	-0.174997245179063	-0.203258052573121	30	ACAA1	ACAA1	-0.174997245179063	-0.203258052573121	-0.0282608073940577
ACACA	-0.316881542699725	-1.69215105516475	31	ACACA	ACACA	-0.316881542699725	-1.69215105516475	-1.37526951246503
